Year,Make,Model,Engine,Viscosity,Capacity
2004,Acura,3.2TL,3.2L 6 -cyl Engine Code J32A3 R,"5W-20, 0W-20 (All TEMPS)",4.2 quarts. . . . w/ofAfter refill check oil level.
2004,Acura,EL,1.7L 4 -cyl Engine Code D17A2 D17A1 F,5W-20 (All TEMPS),3.7 quarts. . . (with filter)After refill check oil level.
2004,Acura,MDX,3.5L 6 -cyl Engine Code J35A5 A,"5W-20, 0W-20 (All TEMPS)",4.5 quarts. . . (with filter)After refill check oil level.
2004,Acura,NSX,3.0L 6 -cyl Engine Code C30A1 1,10W-30 (Above -20),5.3 quarts. . . (with filter)After refill check oil level.
2004,Acura,NSX,3.2L 6 -cyl Engine Code C32B1 B,10W-30 (Above -20),5.3 quarts. . . (with filter)After refill check oil level.
2004,Acura,RL,3.5L 6 -cyl Engine Code C35A1 2,10W-30 (Above -7),4.9 quarts. . . (with filter)After refill check oil level.
2004,Acura,RSX,2.0L 4 -cyl Engine Code K20A2 Z,5W-30 (All TEMPS),5 quarts. . . (with filter). Type SAfter refill check oil level.
2004,Acura,RSX,2.0L 4 -cyl Engine Code K20A3 Y,"5W-20, 0W-20 (All TEMPS)",4.4 quarts. . . (with filter)After refill check oil level.
2004,Acura,TSX,2.4L 4 -cyl Engine Code K24A2 C,5W-30 (All TEMPS),4.2 quarts. . . . w/ofAfter refill check oil level.
2004,Am General,H2,6.0L 8 -cyl Engine Code [U] LQ4 U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Audi,A4,1.8L 4 -cyl Engine Code [C] AMB AWP A Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","4.3 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A4,3.0L 6 -cyl Engine Code [T] AVK E,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","6.8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A4 QUATTRO,1.8L 4 -cyl Engine Code [C] AMB AWP A Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","4.3 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A4 QUATTRO,3.0L 6 -cyl Engine Code [T] AVK E,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","6.8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A6,3.0L 6 -cyl Engine Code [T] AVK E,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","6.3 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A6 QUATTRO,2.7L 6 -cyl Engine Code [D] BEL APB D Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","7.3 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A6 QUATTRO,3.0L 6 -cyl Engine Code [T] AVK E,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","6.3 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
